# QGIS Generated Color Map Export File
INTERPOLATION:INTERPOLATED
0,255,245,240,255,0
0.0533333,255,237,228,255,0.0533333
0.0795455,254,232,222,255,0.0795455
0.106061,254,228,216,255,0.106061
0.13253,254,224,210,255,0.13253
0.15873,254,216,200,255,0.15873
0.185567,253,209,190,255,0.185567
0.211864,253,202,180,255,0.211864
0.238636,252,194,170,255,0.238636
0.265306,252,187,161,255,0.265306
0.292135,252,178,151,255,0.292135
0.318681,252,170,142,255,0.318681
0.345133,252,162,132,255,0.345133
0.371429,252,154,123,255,0.371429
0.397059,252,145,113,255,0.397059
0.423423,252,137,105,255,0.423423
0.449438,252,129,97,255,0.449438
0.475728,251,121,89,255,0.475728
0.504505,251,113,81,255,0.504505
0.528,251,105,73,255,0.528
0.553571,248,95,67,255,0.553571
0.58,246,86,61,255,0.58
0.606383,243,77,55,255,0.606383
0.632184,241,67,49,255,0.632184
0.658228,238,58,44,255,0.658228
0.684932,231,51,41,255,0.684932
0.71134,223,44,38,255,0.71134
0.7375,216,37,35,255,0.7375
0.76378,209,30,31,255,0.76378
0.789474,202,24,29,255,0.789474
0.815385,193,22,27,255,0.815385
0.84127,185,20,25,255,0.84127
0.866071,177,18,23,255,0.866071
0.892157,168,16,22,255,0.892157
0.917431,155,13,20,255,0.917431
0.942529,139,9,18,255,0.942529
0.96748,123,5,16,255,0.96748
0.989899,107,1,13,255,0.989899
1,103,0,13,255,1
